company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,floor_rate,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,rate_cap,shares,data_quality_flags,ticker,filing_date
PHH Mortgage Corp.,co_ccf5efd049cf,First Lien,Real Estate,,,,,,,,2500,2343,2516,1.56%,2343,,,,,,PFX,2025-12-12
Power Stop LLC,co_c3e3b0961c57,First Lien,,4.75%,,,,,,2029-01-26,9704,8505,7860,4.89%,8505,,,,,,PFX,2025-12-12
Power Stop LLC,co_c3e3b0961c57,First Lien,Automotive,,,,,,,2029-01-26,9704,8505,7860,4.89%,8505,,,,,,PFX,2025-12-12
PREIT Associates,co_092664305822,First Lien,Real Estate,7%,,,,,,2029-04-01,56,55,58,0.04%,55,,,,,,PFX,2025-12-12
PREIT Associates,co_092664305822,First Lien,Real Estate,5.5%,,,,,,2028-12-31,73,72,71,0.04%,72,,,,,,PFX,2025-12-12
PREIT Associates,co_092664305822,First Lien,Real Estate,,,,,,,,129,127,129,0.08%,127,,,,,,PFX,2025-12-12
PSB Group,co_edf1ad23c547,First Lien,,6.5%,,,,,,2030-04-17,5707,5680,5707,3.55%,5680,,,,,,PFX,2025-12-12
PSB Group,co_edf1ad23c547,Revolver,,6.5%,,,,,,2030-04-17,293,293,293,0.18%,293,,,,,,PFX,2025-12-12
PSB Group LLC,co_edf1ad23c547,First Lien,Consumer & Retail,,,,,,,2030-04-17,6000,5973,6000,3.73%,5973,,,,,,PFX,2025-12-12
Redwood Trust Inc.,co_60347f4724cb,First Lien,,,,,,,,,165,1013,955,0.59%,1013,,,,165000,,PFX,2025-12-12
Redwood Trust Inc.,co_60347f4724cb,First Lien,Real Estate,,,,,,,,165,1013,955,0.59%,1013,,,,,,PFX,2025-12-12
SS Acquisition,co_5ed399aaef6f,First Lien,,5.75%,,,,,,2029-12-20,13470,13404,13470,8.38%,13404,,,,,,PFX,2025-12-12
SS Acquisition,co_5ed399aaef6f,Revolver,,5.75%,,,,,,2029-12-20,400,400,400,0.25%,400,,,,,,PFX,2025-12-12
SS Acquisition LLC,co_5ed399aaef6f,First Lien,Consumer & Retail,,,,,,,,13870,13804,13870,8.63%,13804,,,,,,PFX,2025-12-12
Stancor,co_d16fc80c99b9,First Lien,,,,,,,,,359,345,314,0.2%,345,,,,358867,,PFX,2025-12-12
Stancor,co_d16fc80c99b9,First Lien,Business Services,,,,,,,,359,345,314,0.2%,345,,,,,,PFX,2025-12-12
Spotter Inc.,co_b582e5b0003d,First Lien,,,,,,,,,414,6000,6000,3.73%,6000,,,,,,PFX,2025-12-12
Spotter Inc.,co_b582e5b0003d,First Lien,Software & Technology,,,,,,,,414,6000,6000,3.73%,6000,,,,,,PFX,2025-12-12
Staples,co_18c4137f2a28,First Lien,,5.75%,,,,,,2029-09-01,3960,3831,3742,2.33%,3831,,,,,,PFX,2025-12-12
Staples Inc.,co_18c4137f2a28,First Lien,Consumer & Retail,,,,,,,2029-09-01,3960,3831,3742,2.33%,3831,,,,,,PFX,2025-12-12
Tamarix Capital Partners II LP. - Banking - Fund Investment,co_289ee6c4c181,Other,Financial Services,,,,,,,,,2194,2227,1.39%,2194,,,,,,PFX,2025-12-12
Thryv Holdings Inc.,co_726311127482,First Lien,,6.75%,,,,,,2029-05-01,2025,2009,2028,1.26%,2009,,,,,,PFX,2025-12-12
Thryv Holdings Inc.,co_726311127482,First Lien,Media & Entertainment,,,,,,,2029-05-01,2025,2009,2028,1.26%,2009,,,,,,PFX,2025-12-12
WHI Global,co_a4f896cd2fcb,Revolver,Aerospace & Defense,,,,,,,2029-04-17,884,863,876,0.54%,863,,,,,,PFX,2025-12-12
WHI Global,co_a4f896cd2fcb,First Lien,Aerospace & Defense,8.75%,,,,,,2029-04-17,12370,12257,12259,7.62%,12257,,,,,,PFX,2025-12-12
Wingman Holdings,co_b83301a53799,Revolver,Aerospace & Defense,,,,,,,,0,700,483,0.3%,700,,,,,,PFX,2025-12-12
Wingman Holdings Inc.,co_b83301a53799,First Lien,Aerospace & Defense,,,,,,,,13254,13820,13618,8.46%,13820,,,,,,PFX,2025-12-12
XYZ Roofco,co_0dda7d0cf8db,First Lien,,3.5%,,,,,,2028-10-16,619,623,619,0.38%,623,,,,,,PFX,2025-12-12
XYZ Roofco,co_0dda7d0cf8db,Delayed Draw,,3.5%,,,,,,2028-10-16,31,32,31,0.02%,32,,,,,,PFX,2025-12-12
XYZ Roofco,co_0dda7d0cf8db,First Lien,,6.25%,,,,,,2028-10-16,1864,1860,1859,1.16%,1860,,,,,,PFX,2025-12-12
XYZ Roofco,co_0dda7d0cf8db,Delayed Draw,,6.25%,,,,,,2028-10-16,140,140,140,0.09%,140,,,,,,PFX,2025-12-12
XYZ Roofco LLC,co_0dda7d0cf8db,First Lien,Consumer & Retail,,,,,,,2028-10-16,2653,2655,2649,1.65%,2655,,,,,,PFX,2025-12-12
Advocates for Disabled Vets,co_4a1eca3ba633,First Lien,,12%,,,,,,2030-03-07,8932,8770,8799,5.47%,8770,,,,,,PFX,2025-12-12
Advocates for Disabled Vets,co_4a1eca3ba633,Other Equity,,,,,,,,,3375,3375,3360,2.09%,3375,,,,3375000,,PFX,2025-12-12
FST Holdings Parent,co_9b8309f4b712,Other Equity,,,,,,,,,626,10008,10961,6.82%,10008,,,,625548,,PFX,2025-12-12
FST Holdings Parent LLC,co_9b8309f4b712,First Lien,Software & Technology,,,,,,,,626,10008,10961,6.82%,10008,,,,,,PFX,2025-12-12
MB Precision Investment Holdings LLC,co_b2d9202df35c,First Lien,Financial Services,8%,,,,,,2028-09-30,6843,6696,6399,3.98%,6696,,,,,,PFX,2025-12-12
MB Precision Investment Holdings LLC,co_b2d9202df35c,First Lien,Financial Services,8%,,,,,,2028-10-01,505,469,490,0.3%,469,,,,,,PFX,2025-12-12
MB Precision Investment Holdings LLC,co_b2d9202df35c,First Lien,Financial Services,8%,,,,,,2028-09-30,2113,2077,1975,1.23%,2077,,,,,,PFX,2025-12-12
MB Precision Investment Holdings LLC,co_b2d9202df35c,First Lien,Financial Services,,,,,,,,4106,3167,2725,1.7%,3167,,,,,,PFX,2025-12-12
MB Precision Investment Holdings LLC,co_b2d9202df35c,First Lien,Financial Services,,,,,,,,3380,827,673,0.42%,827,,,,2.28,,PFX,2025-12-12
MB Precision Investment Holdings LLC,co_b2d9202df35c,First Lien,Aerospace & Defense,,,,,,,2028-09-30,16948,13236,12263,7.63%,13236,,,,,,PFX,2025-12-12
ECC Capital Corp.,co_4994954fea6f,First Lien,,,,,,,,,84000,4257,6636,4.13%,4257,,,,84000000,,PFX,2025-12-12
ECC Capital Corp.,co_4994954fea6f,First Lien,,,,,,,,2031-12-31,6997,6997,6997,4.35%,6997,,,,,,PFX,2025-12-12
ECC Capital Corp.,co_4994954fea6f,First Lien,Real Estate,,,,,,,2031-12-31,90997,11254,13633,8.48%,11254,,,,,,PFX,2025-12-12
FlexFIN,co_62a79c8bea2a,Other Equity,,,,,,,,,37181,37181,37181,23.13%,37181,,,,,,PFX,2025-12-12
FlexFIN LLC,co_62a79c8bea2a,First Lien,Business Services,,,,,,,,37181,37181,37181,23.13%,37181,,,,,,PFX,2025-12-12
NSG Captive,co_bdba63b7df88,Other Equity,,,,,,,,,100,49255,48470,30.15%,49255,,,,100000,,PFX,2025-12-12
NSG Captive Inc.,co_bdba63b7df88,First Lien,Insurance,,,,,,,,100,49255,48470,30.15%,49255,,,,,,PFX,2025-12-12
NVTN LLC,co_649cd59d6e94,Revolver,,7%,,,,,,2026-12-31,8900,9030,8900,5.54%,9030,,,,,,PFX,2025-12-12
NVTN LLC,co_649cd59d6e94,First Lien,,,,,,,,2026-12-31,17552,13916,13428,8.35%,13916,,,,,,PFX,2025-12-12
NVTN LLC,co_649cd59d6e94,Other Equity,,,,,,,,,1,21451,,0%,21451,,,,1000,,PFX,2025-12-12
NVTN LLC,co_649cd59d6e94,First Lien,Healthcare,,,,,,,2026-12-31,37960,51967,22328,13.89%,51967,,,,,,PFX,2025-12-12
ECC Capital Corp.,co_4994954fea6f,Other Equity,,,,,,,,,,,,,,,,,5,,PFX,2025-12-12
ECC Capital Corp.,co_4994954fea6f,Other Equity,,,,,,,,,,,,,,,,,0,,PFX,2025-12-12
